,volume,CloudPrcYear
766,822.66,0.2525
767,273284.8100000002,none
768,845.96,9.2866
769,274130.7700000002,none
770,825.73,19.1297
771,274956.5000000002,none
772,767.97,42.4281
773,275724.47000000015,none
774,812.56,14.5591
775,276537.03000000014,none
776,810.22,1.3437
777,277347.2500000001,none
778,804.64,0.7187
779,278151.89000000013,none
780,808.11,2.3525
781,278960.0000000001,none
782,799.83,8.905
783,279759.83000000013,none
784,789.78,0.1131
785,280549.61000000016,none
786,800.09,5.286
787,281349.7000000002,none
788,798.16,5.373
789,282147.86000000016,none
790,826.27,3.1974
791,282974.1300000002,none
792,844.68,5.4139
793,283818.8100000002,none
794,860.08,9.8493
795,284678.8900000002,none
796,832.87,4.5939
797,285511.7600000002,none
798,831.98,1.8664999999999998
799,286343.74000000017,none
800,796.45,8.4238
801,287140.1900000002,none
802,798.21,0.0863
803,287938.4000000002,none
804,799.24,8.9531
805,288737.6400000002,none
806,810.57,0.8161
807,289548.2100000002,none
808,801.23,0.0
809,290349.4400000002,none
810,806.09,0.12209999999999999
811,291155.5300000002,none
812,851.35,0.8025
813,292006.8800000002,none
814,835.59,1.3004
815,292842.4700000002,none
816,734.6,3.7165
817,293577.0700000002,none
818,729.87,30.9201
819,294306.9400000002,none
820,675.27,82.4655
821,294982.2100000002,none
822,743.28,0.1453
823,295725.4900000002,none
824,758.17,0.0072
825,296483.6600000002,none
826,765.85,0.1349
827,297249.5100000002,none
828,751.42,0.11180000000000001
829,298000.93000000017,none
830,761.92,4.1644
831,298762.85000000015,none
832,718.8,0.0042
833,299481.65000000014,none
834,747.51,0.0041
835,300229.16000000015,none
836,741.01,0.013299999999999998
837,300970.17000000016,none
838,724.7,0.0
839,301694.87000000017,none
840,726.51,10.8584
841,302421.3800000002,none
842,747.71,0.4595000000000001
843,303169.0900000002,none
844,757.66,0.0033000000000000004
845,303926.7500000002,none
846,742.84,0.0039
847,304669.5900000002,none
848,743.13,0.0037
849,305412.7200000002,none
850,763.1,0.0064
851,306175.8200000002,none
852,777.36,0.5616
853,306953.18000000017,none
854,760.98,0.2303
855,307714.16000000015,none
856,750.66,0.0748
857,308464.8200000001,none
858,770.51,0.0777
859,309235.33000000013,none
860,742.71,0.0346
861,309978.04000000015,none
862,748.58,0.0161
863,310726.62000000017,none
864,683.36,1.7787
865,311409.98000000016,none
866,789.6,1.4985
867,312199.58000000013,none
868,728.6,2.6317
869,312928.1800000001,none
870,638.47,2.1819
871,313566.6500000001,none
872,645.93,0.4318
873,314212.5800000001,none
874,630.84,0.0525
875,314843.4200000001,none
876,739.11,0.0203
877,315582.5300000001,none
878,627.45,0.6039
879,316209.9800000001,none
880,633.48,0.0
881,316843.4600000001,none
882,775.56,0.2043
883,317619.0200000001,none
884,776.13,0.6642
885,318395.1500000001,none
886,669.09,0.5149
887,319064.2400000001,none
888,792.2,0.1104
889,319856.4400000001,none
890,777.83,0.659
891,320634.27000000014,none
892,771.51,0.6882
893,321405.78000000014,none
894,757.03,0.0974
895,322162.8100000002,none
896,743.56,0.0441
897,322906.37000000017,none
898,753.63,0.1226
899,323660.0000000002,none
900,638.87,0.40010000000000007
901,324298.87000000017,none
902,646.98,0.0663
903,324945.85000000015,none
904,644.29,0.0335
905,325590.14000000013,none
906,648.13,0.0197
907,326238.27000000014,none
908,651.0,0.5711
909,326889.27000000014,none
910,672.46,0.3085
911,327561.73000000016,none
912,619.67,2.8231000000000006
913,328181.40000000014,none
914,684.88,0.2183
915,328866.28000000014,none
916,614.03,1.3934000000000002
917,329480.3100000002,none
918,802.11,0.4588
919,330282.42000000016,none
920,617.5,0.0
921,330899.92000000016,none
922,602.32,0.0
923,331502.24000000017,none
924,618.77,0.0
925,332121.0100000002,none
926,796.06,1.2387
927,332917.0700000002,none
928,785.27,0.0
929,333702.3400000002,none
930,646.02,0.0186
931,334348.3600000002,none
932,636.45,0.0385
933,334984.81000000023,none
934,812.5,0.0
935,335797.31000000023,none
936,672.61,0.0
937,336469.9200000002,none
938,834.35,1.7661
939,337304.2700000002,none
940,836.76,0.0291
941,338141.0300000002,none
942,631.47,0.0
943,338772.5000000002,none
944,795.74,0.1746
945,339568.24000000017,none
946,638.53,0.0909
947,340206.7700000002,none
948,805.21,0.1502
949,341011.9800000002,none
950,638.43,0.0
951,341650.4100000002,none
952,698.69,0.0
953,342349.1000000002,none
954,800.41,0.0
955,343149.5100000002,none
956,810.72,0.014
957,343960.23000000016,none
958,816.42,0.0
959,344776.65000000014,none
960,747.32,8.174
961,345523.97000000015,none
962,437.21,0.0614
963,345961.18000000017,none
964,469.11,0.0
965,346430.29000000015,none
966,839.92,0.0015
967,347270.21000000014,none
968,467.19,0.0
969,347737.40000000014,none
970,420.08,0.0
971,348157.48000000016,none
972,808.3,0.013299999999999998
973,348965.78000000014,none
974,817.78,0.0462
975,349783.5600000002,none
976,445.95,0.0
977,350229.5100000002,none
978,469.07,0.0
979,350698.5800000002,none
980,860.14,0.0
981,351558.7200000002,none
982,508.17,0.0
983,352066.8900000002,none
984,501.12,0.0
985,352568.0100000002,none
986,488.14,0.0
987,353056.1500000002,none
988,862.79,0.0011
989,353918.9400000002,none
990,855.21,0.0
991,354774.1500000002,none
992,481.66,0.0
993,355255.8100000002,none
994,468.08,0.0
995,355723.8900000002,none
996,456.47,0.0
997,356180.36000000016,none
998,471.34,0.0
999,356651.7000000002,none
1000,836.58,0.0
1001,357488.2800000002,none
1002,485.75,0.0
1003,357974.0300000002,none
1004,848.8,0.0
1005,358822.8300000002,none
1006,852.56,0.0
1007,359675.3900000002,none
1008,784.69,45.3615
1009,360460.0800000002,none
1010,859.65,1.2389
1011,361319.7300000002,none
1012,824.5,0.45719999999999994
1013,362144.2300000002,none
1014,814.57,27.112699999999997
1015,362958.8000000002,none
1016,820.73,2.4407
1017,363779.5300000002,none
1018,812.67,0.1359
1019,364592.2000000002,none
1020,817.12,0.0
